DNR_ID_Site_Number,Year,LAKE_NAME,avg_secchi_depth,avg_total_phosphorus,ACRES_POLY_mean,FIN_SQ_FT_mean,EMV_TOTAL_mean,TOTAL_TAX_mean,GARAGE_mean,BASEMENT_mean,OTHER_COOLING,UNKNOWN_COOLING,FORCED AIR_COOLING,N_COOLING,Y_COOLING,1 AC UNIT_COOLING,A/CON_COOLING,CENTRAL W/AIR COND_COOLING,1_COOLING,0_COOLING,CONDOMINIUM,UNKNOWN_DWELL_TYPE,OTHER_DWELL,SINGLE-FAMILY / OWNER OCCUPIED,TOWNHOUSE,S.FAM.RES
82008900-01,2012,Markgraf Lake,0.359090909090909,0.14818181818181816,0.9018419290020002,1431.3516409912927,338015.338245144,0.0,0.7789685197588747,0.8526456798392499,0.0,0.14735432016075017,0.0,0.0006697923643670462,0.8519758874748827,0.0,0.0,0.0,0.0,0.0,0.144675150703282,0.14735432016075017,0.0,0.3034159410582719,0.4045545880776959,0.0
82008900-01,2014,Markgraf Lake,0.9643333333333333,0.08208333333333333,0.8646653671215032,1388.569200779727,376544.8343079922,0.0,0.755685510071475,0.8271604938271605,0.0,0.1728395061728395,0.0,0.000649772579597141,0.8265107212475633,0.0,0.0,0.0,0.0,0.0,0.14035087719298245,0.1728395061728395,0.0,0.29434697855750486,0.39246263807667314,0.0
82009002-01,2012,Wilmes Lake,1.3000000000000003,0.09253846153846156,0.46381578947367774,1769.156432748538,250127.55847953216,0.0,0.944078947368421,0.9444444444444444,0.0,0.05555555555555555,0.0,0.013888888888888888,0.9305555555555556,0.0,0.0,0.0,0.0,0.0,0.06286549707602339,0.05555555555555555,0.0007309941520467836,0.7880116959064327,0.09283625730994152,0.0
19034800-01,2010,Valley Lake,1.5714285714285712,0.07057142857142859,0.2548435374149582,1688.3039115646259,191261.27551020408,2441.579761904762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026530612244897958,0.09387755102040816,0.0,0.3610544217687075,0.5185374149659864
27004201-01,2009,Twin Lake,2.12759375,0.07425,0.5413257740950747,1048.4435237679895,225295.81334496292,4032.9028928623347,0.9139409797935747,0.03663323157435674,0.0,0.24872801279255705,0.7512719872074429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82008700-01,2012,Regional Park Lake,1.8457142857142859,0.09085714285714286,5.0641724941724915,1194.6340326340326,290304.8951048951,0.0,0.8181818181818182,0.8275058275058275,0.0,0.17249417249417248,0.0,0.030303030303030304,0.7972027972027972,0.0,0.0,0.0,0.0,0.0,0.0,0.17249417249417248,0.0,0.7552447552447552,0.07226107226107226,0.0
82007700-01,2014,Goggins Lake,1.055,0.07116666666666667,9.971122448979598,1523.295918367347,343180.612244898,0.0,0.7653061224489796,0.7857142857142857,0.0,0.21428571428571427,0.0,0.20408163265306123,0.5816326530612245,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.7857142857142857,0.0,0.0
82009700-01,2010,La Lake,0.6166666666666667,0.12016666666666666,1.3440418977202837,1662.8422674060382,277868.97720271104,11.430683918669132,0.8074553296364757,0.9091189155884165,0.0012322858903265558,0.1361675908810844,0.0,0.0,0.8619839802834257,0.0,0.0,0.0006161429451632779,0.0,0.0,0.0006161429451632779,0.09088108441158349,0.0061614294516327784,0.5899568699938386,0.3123844731977819,0.0
82009200-01,2014,Powers Lake,2.4133333333333336,0.034,0.6710628019323662,1748.6859903381642,428151.0466988728,0.0,0.7777777777777778,0.8389694041867954,0.0,0.1610305958132045,0.0,0.011272141706924315,0.8276972624798712,0.0,0.0,0.0,0.0,0.0,0.061191626409017714,0.1610305958132045,0.001610305958132045,0.6666666666666666,0.10950080515297907,0.0
82009700-01,2004,La Lake,2.183333333333333,0.09100000000000001,0.7189003959792806,3.5370088333841,243402.04081632654,2024.2966798659763,0.0,0.0018275967103259215,0.0012183978068839476,0.998172403289674,0.0,0.0,0.0,0.0,0.0006091989034419738,0.0,0.0,0.0,0.0,0.998172403289674,0.0018275967103259215,0.0,0.0,0.0
